Date,Sales
2023-03-03,4468
2023-03-05,8208
2023-03-06,9938
2023-03-07,4423
2023-03-07,9619
2023-03-08,5613
2023-03-08,5880
2023-03-08,6653
2023-03-09,4088
2023-03-09,5011
2023-03-09,9280
2023-03-11,6323
2023-03-14,5746
2023-03-14,2293
2023-03-15,9344
2023-03-17,1309
2023-03-17,9103
2023-03-18,7723
2023-03-18,8625
2023-03-20,3346
2023-03-21,5265
2023-03-23,9369
2023-03-23,8836
2023-03-24,5726
2023-03-26,7686
2023-03-27,4301
2023-03-31,8610
2023-03-31,9701
2023-04-01,2760
2023-04-01,3911
2023-04-02,7415
2023-04-05,7830
2023-04-05,5503
2023-04-06,1124
2023-04-08,5552
2023-04-10,4777
2023-04-12,6149
2023-04-13,9162
2023-04-13,8094
2023-04-13,8879
2023-04-14,4497
2023-04-15,5433
2023-04-16,7688
2023-04-18,8021
2023-04-20,9776
2023-04-23,3535
2023-04-23,7631
2023-04-24,8751
2023-04-26,3026
2023-04-28,4237
2023-04-29,2940
2023-04-29,3304
2023-04-29,3737
2023-04-30,8689
2023-05-02,1489
2023-05-03,9484
2023-05-03,3502
2023-05-07,9071
2023-05-07,8182
2023-05-09,1427
2023-05-11,3829
2023-05-16,7662
2023-05-16,2346
2023-05-21,7912
2023-05-22,8281
2023-05-22,9829
2023-05-25,2529
2023-05-28,5057
2023-05-29,9670
2023-06-01,5677
2023-06-02,5130
2023-06-03,3893
2023-06-06,4623
2023-06-06,3928
2023-06-09,8699
2023-06-10,7444
2023-06-10,2391
2023-06-11,5747
2023-06-15,2049
2023-06-16,5770
2023-06-17,2341
2023-06-19,7377
2023-06-19,1447
2023-06-20,2614
2023-06-21,8180
2023-06-21,4222
2023-06-22,7275
2023-06-22,9834
2023-06-25,3570
2023-06-25,1958
2023-06-27,6774
2023-06-28,5896
2023-06-28,3927
2023-07-03,7663
2023-07-03,2664
2023-07-04,2058
2023-07-06,7848
2023-07-09,8620
2023-07-10,7388
2023-07-13,5116
2023-07-13,8471
2023-07-14,1057
2023-07-15,7049
2023-07-17,5468
2023-07-21,5162
2023-07-21,9467
2023-07-21,4228
2023-07-22,9684
2023-07-22,9476
2023-07-22,3848
2023-07-22,7785
2023-07-23,8764
2023-07-23,8402
2023-07-24,6881
2023-07-26,6663
2023-07-26,5468
2023-07-29,8027
2023-07-29,1114
2023-07-29,1870
2023-07-30,5834
2023-08-02,4172
2023-08-03,2546
2023-08-04,3629
2023-08-04,9580
2023-08-05,2360
2023-08-08,6302
2023-08-09,2608
2023-08-13,8533
2023-08-13,4540
2023-08-14,8315
2023-08-15,8041
2023-08-16,9067
2023-08-16,2184
2023-08-20,7036
2023-08-20,7865
2023-08-21,1187
2023-08-23,3657
2023-08-25,4375
2023-08-29,2121
2023-08-29,6765
2023-08-30,8818
2023-08-30,6165
2023-08-30,7403
2023-08-30,6810
2023-08-31,2655
2023-09-01,4543
2023-09-01,5261
2023-09-02,1786
2023-09-05,6838
2023-09-05,1511
2023-09-08,9320
2023-09-09,3007
2023-09-09,4473
2023-09-10,7415
2023-09-11,7039
2023-09-12,2568
2023-09-12,6304
2023-09-13,5618
2023-09-15,5844
2023-09-15,2263
2023-09-16,3129
2023-09-17,9625
2023-09-20,1325
2023-09-21,3081
2023-09-22,6784
2023-09-22,8456
2023-09-24,6227
2023-09-24,3718
2023-09-25,5120
2023-09-28,8059
2023-09-29,8599
2023-09-29,1837
2023-09-29,8729
2023-10-02,4406
2023-10-02,2216
2023-10-04,5097
2023-10-06,4616
2023-10-06,1639
2023-10-07,8499
2023-10-08,1976
2023-10-09,5797
2023-10-10,4169
2023-10-11,4841
2023-10-14,3565
2023-10-15,6014
2023-10-16,4074
2023-10-16,4424
2023-10-18,7170
2023-10-18,8688
2023-10-22,2554
2023-10-23,7145
2023-10-23,6490
2023-10-24,8394
2023-10-27,7154
2023-10-31,5037
2023-11-01,4492
2023-11-01,8390
2023-11-02,6564
2023-11-04,8548
2023-11-09,2164
2023-11-10,8599
2023-11-11,5715
2023-11-12,3443
2023-11-12,5570
2023-11-14,6600
2023-11-16,2653
2023-11-18,9729
2023-11-18,2940
2023-11-19,8021
2023-11-19,4876
2023-11-20,9334
2023-11-22,2138
2023-11-22,6962
2023-11-23,3515
2023-11-24,3188
2023-11-24,2583
2023-11-24,5248
2023-11-26,8842
2023-11-28,3984
2023-11-29,5405
2023-11-29,5509
2023-11-30,4815
2023-12-02,3138
2023-12-03,5547
2023-12-03,9040
2023-12-03,1876
2023-12-06,3414
2023-12-08,9365
2023-12-08,1297
2023-12-10,5751
2023-12-12,8821
2023-12-13,1455
2023-12-13,9146
